cluster,repo,elav,ey,Fas2,VAChT,Gad1,ple,SerT,Tdc2
0,0.017241372,1.127304,0.028628122,0.48596123,1.1155888,0.3812345,0.022161473,0.0065290174,0.0028130796
1,0.017149942,1.3110647,0.022569312,0.34198096,1.6890093,0.1841576,0.021207877,0.004012522,0.0040734517
2,0.019112758,1.813364,0.03862701,0.8461141,1.9945264,0.28429604,0.029885659,0.011508253,0.007287565
3,0.019309612,1.5975882,0.048029426,0.7340088,0.4661639,0.937496,0.029641919,0.016126279,0.013476187
4,0.020878954,1.2695878,0.11946164,0.34087566,0.219872,0.21761593,0.03725367,0.0026563709,0.0060075335
5,0.02379176,1.4682271,0.106361225,0.3041014,1.7984577,0.47804663,0.042492557,0.0031380947,0.0031383755
6,0.026954416,1.3949857,0.2751957,0.5016449,0.36660182,2.770265,0.019419309,0.0038098008,0.0031363412
7,0.02819314,1.8223155,1.042653,1.4142323,1.5601486,0.33904895,0.023948058,0.004439656,0.0029703737
8,0.00963485,1.5160197,0.06993174,0.78912807,1.7989547,0.16418895,0.019224608,0.0076864446,0.006787887
9,0.0130806435,1.490463,0.08225912,0.73317134,0.3854972,3.1112921,0.03433231,0.010633667,0.0085820155
10,0.32436767,0.87804353,0.045972236,0.38406453,0.64137465,0.47598827,0.03186534,0.0045697996,0.0040734904
11,0.025240112,1.4641415,0.018538093,0.5776656,1.8192351,0.22826931,0.031835493,0.0058624316,0.0024894208
12,0.026880657,1.8383267,0.12483216,0.5968795,1.3589072,0.6413431,0.059995066,0.0011447112,0.005143732
13,0.017462527,1.451715,0.046611276,0.777982,0.8263688,0.25345257,1.8170267,0.24445404,0.26137325
14,0.020230612,1.3696707,0.011095071,0.5002667,0.21877997,2.150524,0.017400768,0.003372886,0.0049842275
15,0.013262657,1.2063271,0.020664817,0.16491401,1.592452,0.16675806,0.021907773,0.003920816,0.0018947135
16,0.015236441,1.3320025,0.017005801,0.4597321,2.008982,0.11592317,0.012942976,0.0012277333,0.0024667594
17,0.022356538,1.3891577,0.016169257,0.1865533,2.0272121,0.4576343,0.021167772,0.0040616924,0.0032762366
18,0.017390432,1.3256012,0.02013185,0.28506568,1.3837197,0.15184508,0.00919537,0.0044871247,0.0047260593
19,0.017924327,1.6302552,0.01831466,0.8131224,2.3737996,0.1888796,0.02409252,0.005742547,0.0068595614
20,0.6206149,0.63243586,0.020229885,2.7216034,0.3338843,0.2854162,0.01756632,0.015338742,0.0076378277
21,0.29995754,0.7635218,0.06656671,0.78619665,0.49389675,0.3316841,0.06792843,0.044958245,0.004291997
22,0.3608913,0.826187,0.03762928,0.39797378,0.5744981,0.2792719,0.040610436,0.002578134,0.0035890122
23,0.023599787,1.6149577,0.03265751,1.5991272,1.5468953,0.24999039,0.019938402,0.0029657434,0.0
24,0.014831962,1.6492349,0.021423504,0.995362,0.35519588,0.2856317,0.039373327,0.010264783,0.0035474864
25,0.029042702,0.8964575,0.036420666,0.550684,0.8271068,0.35865974,0.077457495,0.03225742,0.0
26,0.024886424,0.89556783,0.05624022,0.7228609,0.59503824,0.24153925,0.04399909,0.0,0.0
27,0.019757438,1.5035357,0.021740347,0.45527694,0.19912079,0.22356184,0.004607442,0.0,0.15678595
28,0.016769733,1.5485325,0.00973735,2.4357865,0.23843302,2.5635035,0.0037970762,0.005074983,0.0
