names,scores,logfoldchanges,pvals,pvals_adj
lncRNA:noe,30.574554,-1.8162222,2.6677895817064875e-205,3.8111279738664106e-203
mt:srRNA,22.77837,-3.681743,7.513390549735326e-115,6.533383086726371e-113
Cbp53E,16.250685,-2.8768036,2.208809751202422e-59,9.203373963343424e-58
igl,16.121231,-10.351589,1.8096565458961746e-58,7.386353248555814e-57
Rbp6,11.585148,-2.2054276,4.901205500943495e-31,1.166953690700832e-29
Imp,10.348264,-5.306179,4.26142779138805e-25,8.35574076742755e-24
apolpp,8.293278,-4.862932,1.1016978752397993e-16,1.6692392049087868e-15
pyd,8.232331,-4.536421,1.8360427149705475e-16,2.6803543284241567e-15
CG5758,7.4316297,-1.5358553,1.0726792116283432e-13,1.3752297584978759e-12
DIP-kappa,7.106989,-3.8641884,1.186020859850918e-12,1.4035749820720923e-11
CG14989,6.903942,-2.8124888,5.0578934524654986e-12,5.78044965996057e-11
VGlut1,6.873348,-7.11475,6.2712263962514486e-12,7.086131521188078e-11
Fas2,6.8027472,-1.4223775,1.0264248458623113e-11,1.1404720509581236e-10
nkd,6.7907133,-2.9579792,1.1158031925953136e-11,1.2329317045252084e-10
fok,6.514451,-2.4217231,7.29559094218202e-11,7.844721443206472e-10
Yp3,6.4936347,-2.0459535,8.37897221729106e-11,8.961467612076e-10
RapGAP1,6.4913177,-5.122341,8.508885119429162e-11,9.052005446201236e-10
Dscam4,5.726952,-2.597105,1.022511306220203e-08,9.879336291982638e-08
mbl,5.4320555,-1.3819281,5.570862449671744e-08,5.064420408792494e-07
Sytalpha,4.425018,5.5350237,9.643426879447657e-06,7.840184454835494e-05
CG12594,4.307873,-4.284409,1.6483202542041164e-05,0.00012978899639402492
fkh,3.8618033,-1.7475454,0.00011255315231548811,0.000812658139462008
CG10384,3.6183066,5.104258,0.0002965369158558573,0.002088288139829981
Yp2,3.3406205,-6.3762255,0.0008359136090547095,0.005610158450031608
dpr11,3.2726595,1.4296591,0.0010654068240672184,0.007055674331570983
TyrR,3.1208005,-1.1710593,0.0018036019746384112,0.011487910666486694
side,3.0400815,1.280488,0.002365141431706006,0.014828472926056463
CG15765,2.9394102,2.296898,0.003288375475926333,0.02036145805527141
SoxN,2.9064114,-1.2164338,0.003656004913516753,0.02256793156491823
CG5973,2.8424764,-2.1571956,0.004476456407713921,0.027048074971081092
Rh2,2.7584176,-2.2675018,0.005808195856587748,0.034165857979927924
Bx,2.7369177,2.1658964,0.006201779863888046,0.03626771850226927
Fas3,2.660817,2.001604,0.007795135604546745,0.04505858730951876
GstD1,-2.6244743,-4.8381977,0.008678283742347807,0.04973228505643443
Arr1,-3.1080654,1.653515,0.001883164681970116,0.011956601155365815
CG12355,-3.2901652,-4.1890154,0.0010012855412076622,0.006653060074469516
Mmp2,-3.4962225,-3.2916327,0.0004718948808755683,0.00324326378608638
Obp44a,-3.7798955,4.749789,0.00015689423415659264,0.0011166849406163176
side-III,-4.0058255,-3.2732053,6.180128834965852e-05,0.0004646713409748761
dths,-5.012525,-2.2189536,5.372033755447045e-07,4.631063582281936e-06
Rdl,-7.2238207,-1.76606,5.054697503489966e-13,6.279127333527908e-12
Nlg3,-8.2048,-3.293806,2.30975709690826e-16,3.3474740534902315e-15
Arr2,-10.78546,4.3156266,4.032198049839704e-27,8.313810412040627e-26
scrt,-11.147373,-2.9143229,7.375145345921372e-29,1.6389211879825272e-27
Hr38,-11.564373,-3.076654,6.244562853771475e-31,1.4693089067697587e-29
ninaE,-15.473748,3.2413588,5.217876268344506e-54,1.8635272386944662e-52
