Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
Allele_LoF_Phenotypes_from_FlyBase_2017,rhabdomere R4,2/8,0.0001436370644371,0.0043400495557006,0.0022221857953273,0.0937470853793332,-3.3871104492987474,29.96990121663721,mbl;ninaE
Allele_LoF_Phenotypes_from_FlyBase_2017,rhabdomere R5,2/8,0.0001436370644371,0.0043400495557006,0.0022221857953273,0.0937470853793332,-3.383841976037544,29.940981043458997,mbl;ninaE
Allele_LoF_Phenotypes_from_FlyBase_2017,neuroblast NB6-4,2/6,7.71745137216e-05,0.0043400495557006,0.0013947516406675,0.0937470853793332,-3.076239003842616,29.13026463652453,SoxN;nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,rhabdomere R2,2/9,0.0001844055780353,0.0043400495557006,0.0027042428474807,0.0937470853793332,-3.3112544991792707,28.471401274090525,mbl;ninaE
Allele_LoF_Phenotypes_from_FlyBase_2017,rhabdomere R3,2/9,0.0001844055780353,0.0043400495557006,0.0027042428474807,0.0937470853793332,-3.3062770207535896,28.428603057998764,mbl;ninaE
Allele_LoF_Phenotypes_from_FlyBase_2017,ganglionic branch primordium,2/16,0.0006084107329161,0.0084366288297708,0.0072978123747312,0.1517944973944095,-3.447652597139265,25.528696509084,pyd;Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,neuroblast NB7-3,2/10,0.0002301692083095,0.0047875195328392,0.0032310413446844,0.0960080856706227,-2.852253889539292,23.89246326609777,SoxN;nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic/larval proventriculus,2/13,0.0003972092432537,0.0075108656906165,0.0050738454576535,0.1319199818989935,-3.044329765344409,23.84029055674676,fkh;Mmp2
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic/larval esophagus,1/5,0.0114483611573847,0.0620500105433928,0.0434529625194811,0.2575957713514395,-5.072114453686795,22.67188847110643,fkh
Allele_LoF_Phenotypes_from_FlyBase_2017,abdominal ventral denticle belt,1/5,0.0114483611573847,0.0620500105433928,0.0434529625194811,0.2575957713514395,-4.541039030997156,20.29802982440076,nkd
Allele_LoF_Phenotypes_from_FlyBase_2017,neuroblast NB3-3,1/5,0.0114483611573847,0.0620500105433928,0.0434529625194811,0.2575957713514395,-4.09487292330016,18.303708062607456,SoxN
Allele_LoF_Phenotypes_from_FlyBase_2017,heart primordium,1/6,0.013722598485558,0.0620500105433928,0.0505200201628077,0.2575957713514395,-4.093721657694802,17.556790253098935,Mmp2
Allele_LoF_Phenotypes_from_FlyBase_2017,thorax & macrochaeta,1/5,0.0114483611573847,0.0620500105433928,0.0434529625194811,0.2575957713514395,-3.878623643836813,17.337093529217654,Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,RP3 motor neuron,2/14,0.0004627321425064,0.0080206904701121,0.0057735976250853,0.1334342562241955,-2.2502719336755463,17.278402948937984,Fas3;Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,dorsocentral bristle,2/24,0.0013830498874116,0.017979648536352,0.0149743049763323,0.2575957713514395,-2.6090632560373974,17.176674424429535,pyd;Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,stomatogastric nervous system,1/6,0.013722598485558,0.0620500105433928,0.0505200201628077,0.2575957713514395,-3.6901381724469697,15.825937207242172,fkh
Allele_LoF_Phenotypes_from_FlyBase_2017,presumptive embryonic/larval tracheal system,2/35,0.0029340071410284,0.0305136742666959,0.0292623450307256,0.2575957713514395,-2.7132335588003342,15.821912638222011,pyd;Fas2
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic head,4/79,3.24338168066e-05,0.0033731169478898,0.0025923557640529,0.0937470853793332,-1.4604387624297277,15.09554625230308,fkh;SoxN;nkd;pyd
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic stomatogastric nervous system,1/6,0.013722598485558,0.0620500105433928,0.0505200201628077,0.2575957713514395,-3.40557976095627,14.605548337884976,fkh
