names,scores,logfoldchanges,pvals,pvals_adj
CG42613,32.32602,4.92314,3.0151198967574188e-229,4.638645995011413e-227
trv,11.844637,3.0582752,2.2941004153980348e-32,3.5845318990594293e-31
Hr38,11.41044,-1.3890092,3.7084768661274585e-30,5.535040098697699e-29
Gad1,10.688841,3.672475,1.147965799568549e-26,1.5306210660913987e-25
IA-2,9.788561,2.812227,1.2607788731057376e-22,1.556517127291034e-21
Spar,9.295532,5.0229397,1.4647108113179172e-20,1.7131120600209556e-19
CG2082,8.059291,-5.6199822,7.673811057231754e-16,8.120434981197623e-15
mtt,8.053009,2.7422698,8.078320857874512e-16,8.503495639867907e-15
VGlut1,7.3339987,3.9352524,2.2338540531597326e-13,2.2008414316844653e-12
CG34384,7.303284,3.465276,2.8082715348251065e-13,2.753207387083438e-12
Mdh1,7.2429485,-5.2808237,4.3903292592213515e-13,4.241864018571354e-12
CG7220,7.230699,-3.05832,4.805144734560236e-13,4.598224626373432e-12
Hsp26,7.157771,-2.2079167,8.199931916212711e-13,7.735784826615766e-12
dpr6,7.149389,-2.0679712,8.716526561598861e-13,8.184531982721935e-12
CG32204,6.3709636,4.562445,1.8784423500886034e-10,1.5719182845929736e-09
CG42340,6.2790575,-1.4568214,3.4063194852243787e-10,2.8268211495638e-09
Dys,5.837282,1.6214677,5.305920132655136e-09,4.1778898682323904e-08
Ssadh,5.831431,-2.5330794,5.49539887102178e-09,4.3101167615857096e-08
bbc,5.7128005,-2.3587513,1.1113182894465975e-08,8.483345720966393e-08
Scp2,5.272235,2.0008678,1.3477256344305873e-07,9.626611674504195e-07
beat-IV,5.187134,-2.5684998,2.13555100392729e-07,1.5145751800902768e-06
sNPF,5.0440545,2.6896532,4.5576911290536627e-07,3.209641640178636e-06
CG14762,4.855385,-2.2395315,1.201533182175196e-06,8.06902929379475e-06
beat-VI,4.810533,-4.2060184,1.5052834579311101e-06,1.000310693820169e-05
CG8745,4.294724,1.6420343,1.7491066671361742e-05,0.00010966186000853756
Nagk,4.1761127,-1.6263772,2.96533249759972e-05,0.00018304521590121727
Lmpt,4.0394855,5.5450583,5.35686083812749e-05,0.00032465823261378725
sNPF-R,4.026046,-4.4346213,5.67226355297682e-05,0.00034273495788379575
Hsp68,4.001729,6.429449,6.288126452488665e-05,0.0003754105344769352
Gabat,3.943269,-2.1165407,8.037841295644338e-05,0.00047561191098487203
rdgA,3.8908355,1.3563257,9.989959669742342e-05,0.0005842081678211896
beat-Ia,3.8655133,-1.8768692,0.00011085577499184886,0.0006463893585530546
Dh31,3.6633964,2.9123843,0.000248892937606803,0.0013982749303752978
CG31705,3.4705238,7.598931,0.0005194440749223398,0.0028698567675267393
GstD1,3.3461905,-1.1871483,0.0008193007717154495,0.00439303362850107
Ddc,3.3112338,1.0892704,0.0009288561814751854,0.004967145355482275
CG10527,3.257793,2.3423624,0.0011228228717764322,0.005894083316411718
Nt5a,3.0074244,-2.5929246,0.002634715882671751,0.013206595903116545
kek2,2.935279,-2.313963,0.003332479803775371,0.016456690389014178
Dif,2.9215865,7.753654,0.003482536449589995,0.01707125710583331
Got1,2.9079385,-2.883672,0.0036381981315595207,0.01774730795882693
Pde1c,2.8781893,4.93746,0.003999651039924286,0.019445569943769198
myo,2.822186,3.5722153,0.004769752052634771,0.022876508645730317
para,-3.0648837,1.4138008,0.0021775467079290403,0.011081662635771197
Ggamma30A,-8.769922,4.543067,1.787892053588521e-18,2.0433052041011672e-17
RpLP2,-13.020694,5.0194626,9.33197278836274e-39,1.7442939791332225e-37
lncRNA:Hsromega,-14.853333,2.0685582,6.619384735050861e-50,1.6344159839631755e-48
lncRNA:mimi,-15.649061,1.5892526,3.371588621455704e-55,8.757373042742089e-54
scrt,-17.512989,2.9885786,1.1404517044519591e-68,3.4559142559150276e-67
mt:lrRNA,-44.50492,-1.4310881,0.0,0.0
