Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
Allele_LoF_Phenotypes_from_FlyBase_2017,chemical resistant,2/30,0.0025479225013552,0.0611947496214524,0.0198346572884363,0.5207659354235973,-2.228340618662476,13.308712997788836,para;CG10527
Allele_LoF_Phenotypes_from_FlyBase_2017,electrophoretic variant,1/11,0.0271655226513146,0.1651689435737676,0.080340598285028,0.5207659354235973,-3.0551116365909543,11.016141884077769,Mdh1
Allele_LoF_Phenotypes_from_FlyBase_2017,viable,9/817,0.0001683929949278,0.0119559026398781,0.076126009911734,0.5207659354235973,-1.0305402724208632,8.954580897033633,Dif;Ddc;Dh31;Mdh1;para;Pde1c;Ggamma30A;mtt;Gabat
Allele_LoF_Phenotypes_from_FlyBase_2017,temperature conditional,1/13,0.0320264063370626,0.1651689435737676,0.0931273652589773,0.5207659354235973,-2.5519722133770544,8.78183279187898,para
Allele_LoF_Phenotypes_from_FlyBase_2017,mating defective,1/16,0.039273133936913,0.1651689435737676,0.1119953676417519,0.5207659354235973,-2.676439178929741,8.664208009368291,Pde1c
Allele_LoF_Phenotypes_from_FlyBase_2017,GO0030016:myofibril,1/16,0.039273133936913,0.1651689435737676,0.1119953676417519,0.5207659354235973,-2.662024253600853,8.61754380251008,Dys
Allele_LoF_Phenotypes_from_FlyBase_2017,sleep defective,2/33,0.003077898775277,0.0611947496214524,0.0235073661263452,0.5207659354235973,-1.4774788455974606,8.545010916348058,Dh31;Gabat
Allele_LoF_Phenotypes_from_FlyBase_2017,hemocyte,1/19,0.0464666860505818,0.1651689435737676,0.1304948654757226,0.5207659354235973,-2.638883780933879,8.098786183469464,Dys
Allele_LoF_Phenotypes_from_FlyBase_2017,motor neuron,1/24,0.0583388089064127,0.1656822172942123,0.1605266795641939,0.5207659354235973,-2.702341379501185,7.678669875271805,beat-Ia
Allele_LoF_Phenotypes_from_FlyBase_2017,dorsocentral bristle,1/24,0.0583388089064127,0.1656822172942123,0.1605266795641939,0.5207659354235973,-2.5790811618032468,7.328427478942401,Dif
Allele_LoF_Phenotypes_from_FlyBase_2017,prepupal stage,1/16,0.039273133936913,0.1651689435737676,0.1119953676417519,0.5207659354235973,-2.2180208530231984,7.180209507840999,myo
Allele_LoF_Phenotypes_from_FlyBase_2017,feeding behavior defective,1/20,0.0488527861274523,0.1651689435737676,0.1365806406957829,0.5207659354235973,-2.3504602579655187,7.095907582247715,mtt
Allele_LoF_Phenotypes_from_FlyBase_2017,recessive,9/1313,0.004791286802766,0.0680362725992778,0.637040427843674,0.7935064978403659,-1.3229458611418845,7.065795978778031,Dif;Ddc;myo;para;Pde1c;beat-Ia;scrt;mtt;Hr38
Allele_LoF_Phenotypes_from_FlyBase_2017,mesothoracic tergum,1/24,0.0583388089064127,0.1656822172942123,0.1605266795641939,0.5207659354235973,-2.458465335911437,6.985699089486505,Dif
Allele_LoF_Phenotypes_from_FlyBase_2017,abdominal segmental nerve,1/20,0.0488527861274523,0.1651689435737676,0.1365806406957829,0.5207659354235973,-2.312804457221079,6.98222683350391,beat-Ia
Allele_LoF_Phenotypes_from_FlyBase_2017,posterior crossvein,1/21,0.0512330344115492,0.1653429746918179,0.1426264655308534,0.5207659354235973,-2.3039875873493765,6.846001329192236,Dys
Allele_LoF_Phenotypes_from_FlyBase_2017,segmental nerve,1/10,0.0247261182454203,0.1651689435737676,0.0738840162633691,0.5207659354235973,-1.8162267350594328,6.719848534077108,beat-Ia
Allele_LoF_Phenotypes_from_FlyBase_2017,adult cuticle,1/20,0.0488527861274523,0.1651689435737676,0.1365806406957829,0.5207659354235973,-2.165487773217765,6.53748603371029,Ddc
Allele_LoF_Phenotypes_from_FlyBase_2017,Bolwig organ,1/20,0.0488527861274523,0.1651689435737676,0.1365806406957829,0.5207659354235973,-2.102692291519443,6.347909999312791,beat-Ia
Allele_LoF_Phenotypes_from_FlyBase_2017,thermotaxis behavior defective,1/15,0.0368634854145613,0.1651689435737676,0.1057473139400971,0.5207659354235973,-1.8891092522776185,6.235068888084861,rdgA
Allele_LoF_Phenotypes_from_FlyBase_2017,indirect flight muscle,1/26,0.0630469897834187,0.1715409850416521,0.1722648560847281,0.5207659354235973,-2.250217046042223,6.219318550450253,Dys
Allele_LoF_Phenotypes_from_FlyBase_2017,fertile,4/249,0.0034475915279691,0.0611947496214524,0.089276674237798,0.5207659354235973,-1.0421930150530674,5.909317145022558,Dh31;Pde1c;Ggamma30A;Gabat
Allele_LoF_Phenotypes_from_FlyBase_2017,heat sensitive,2/114,0.0330297586202844,0.1651689435737676,0.1907030186058244,0.5207659354235973,-1.5234778775206397,5.195587215098708,Ddc;para
Allele_LoF_Phenotypes_from_FlyBase_2017,cold sensitive,1/29,0.0700660361437734,0.1715409850416521,0.1895839449637169,0.5207659354235973,-1.8924792217067636,5.030809891876584,Dif
Allele_LoF_Phenotypes_from_FlyBase_2017,photoreceptor,1/28,0.0677320988799397,0.1715409850416521,0.1838490237421706,0.5207659354235973,-1.7417830126626332,4.689219652432072,beat-Ia
Allele_LoF_Phenotypes_from_FlyBase_2017,short lived,3/167,0.0084083613163084,0.0994989422429837,0.1084648330655026,0.5207659354235973,-0.9445527463697464,4.513572382077072,Dif;CG10527;Gabat
Allele_LoF_Phenotypes_from_FlyBase_2017,cuticle,1/37,0.0885325341912037,0.1873450782169236,0.2341220277910251,0.5335868987718079,-1.8460626469613104,4.4755669162636265,Ddc
Allele_LoF_Phenotypes_from_FlyBase_2017,stress response defective,1/40,0.0953644125116171,0.1873450782169236,0.2502240562281664,0.5335868987718079,-1.8690049310738328,4.392254673051516,Dif
Allele_LoF_Phenotypes_from_FlyBase_2017,nutrition conditional,1/28,0.0677320988799397,0.1715409850416521,0.1838490237421706,0.5207659354235973,-1.5594499401919075,4.198343452295624,Gabat
Allele_LoF_Phenotypes_from_FlyBase_2017,embryonic/larval cuticle,1/41,0.0976305337186785,0.1873450782169236,0.2555204867357954,0.5335868987718079,-1.7875364079941891,4.158819623421351,Ddc
Allele_LoF_Phenotypes_from_FlyBase_2017,paralytic,1/37,0.0885325341912037,0.1873450782169236,0.2341220277910251,0.5335868987718079,-1.6911267056429116,4.09994251681749,para
Allele_LoF_Phenotypes_from_FlyBase_2017,photoreceptor cell R8,1/39,0.0930927144916211,0.1873450782169236,0.2448923161833477,0.5335868987718079,-1.617284642359609,3.839691459177079,rdgA
Allele_LoF_Phenotypes_from_FlyBase_2017,starvation stress response defective,1/38,0.0908154262087885,0.1873450782169236,0.2395250469953494,0.5335868987718079,-1.59222881673114,3.819639290527173,Gabat
Allele_LoF_Phenotypes_from_FlyBase_2017,intersegmental nerve,1/40,0.0953644125116171,0.1873450782169236,0.2502240562281664,0.5335868987718079,-1.5806227263018309,3.714542129079268,beat-Ia
Allele_LoF_Phenotypes_from_FlyBase_2017,uncoordinated,1/52,0.1221936106404224,0.2139951476880911,0.3115123513049099,0.6002462760054172,-1.7075669343471165,3.5895593033205317,scrt
Allele_LoF_Phenotypes_from_FlyBase_2017,macrochaeta,2/127,0.0402008122254616,0.1651689435737676,0.224263129422038,0.5335868987718079,-1.090340218841853,3.504209624528789,Dif;Ddc
Allele_LoF_Phenotypes_from_FlyBase_2017,GO0045202:synapse,1/47,0.1111108967617919,0.2067538978932344,0.2865697094124745,0.5813271248081626,-1.5923084271990215,3.4986622827362783,para
Allele_LoF_Phenotypes_from_FlyBase_2017,visible,4/469,0.0294492031605362,0.1651689435737676,0.4224034127079779,0.6664587178281429,-0.9718306500070056,3.425788976972137,Dif;Ddc;scrt;Dys
Allele_LoF_Phenotypes_from_FlyBase_2017,some die during pharate adult stage,1/60,0.1396448923209269,0.2270647373403204,0.3497268801747278,0.6289913845132503,-1.587575415845513,3.125384409961289,Hr38
Allele_LoF_Phenotypes_from_FlyBase_2017,photoreceptor cell R7,1/54,0.126588678914082,0.2139951476880911,0.3212585702564205,0.6002462760054172,-1.444543088673021,2.9855992752381715,rdgA
Allele_LoF_Phenotypes_from_FlyBase_2017,adult stage,3/412,0.0837396598991763,0.1873450782169236,0.5703294808322096,0.7632709412914983,-1.194294541164816,2.961901314899131,Dif;mtt;Gabat
Allele_LoF_Phenotypes_from_FlyBase_2017,pigment cell,1/54,0.126588678914082,0.2139951476880911,0.3212585702564205,0.6002462760054172,-1.353152981987102,2.796713088024423,scrt
Allele_LoF_Phenotypes_from_FlyBase_2017,retina,1/61,0.1418022521636585,0.2270647373403204,0.3543613433877466,0.6289913845132503,-1.297528760608648,2.534491191300174,rdgA
Allele_LoF_Phenotypes_from_FlyBase_2017,immune response defective,1/65,0.1503788020413074,0.2271679775517622,0.3725913339258602,0.6452191392374653,-1.2450723618583803,2.358911384105616,Dif
Allele_LoF_Phenotypes_from_FlyBase_2017,cell autonomous,1/84,0.1899837758018634,0.2621775457033868,0.4527834826845733,0.6871174751392254,-1.3144490248177505,2.18305876156473,rdgA
Allele_LoF_Phenotypes_from_FlyBase_2017,conditional,1/85,0.1920173574165649,0.2621775457033868,0.4567256097792627,0.6871174751392254,-1.2776058423237615,2.108266204027117,Dif
Allele_LoF_Phenotypes_from_FlyBase_2017,GO0016028:rhabdomere,1/72,0.1651860913338278,0.2393512751979955,0.4033378115720448,0.6645915400110559,-1.144345038417932,2.0606022154787547,rdgA
Allele_LoF_Phenotypes_from_FlyBase_2017,lethal - all die before end of P-stage,1/87,0.1960695220456243,0.2626591710422515,0.4645301240377862,0.6871174751392254,-1.238934100797011,2.0185779585033496,Hr38
Allele_LoF_Phenotypes_from_FlyBase_2017,chemical sensitive,1/74,0.1693700913073303,0.2405055296564091,0.4118595459223445,0.6645915400110559,-1.119540679869932,1.9879337567092836,Mdh1
Allele_LoF_Phenotypes_from_FlyBase_2017,neurophysiology defective,2/231,0.1135690425047344,0.2067538978932344,0.4915821523073802,0.7122925064045713,-0.91174073133333,1.9833500239502664,para;rdgA
Allele_LoF_Phenotypes_from_FlyBase_2017,photoreceptor cell,1/71,0.1630863531578596,0.2393512751979955,0.3990336659385366,0.6645915400110559,-1.0502963204793474,1.904686586618532,rdgA
Allele_LoF_Phenotypes_from_FlyBase_2017,wing,2/271,0.1471098318696175,0.2270647373403204,0.5814883399598911,0.7632709412914983,-0.8562577585731344,1.641082912009306,Ddc;scrt
