gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,log2FC,significant
Dmel_CR32665 lncRNA:roX2 Gene Expression,18244.80499002192,-8.978404640999308,0.18934228902156167,-47.41890830303037,0.0,0.0,Cocaine_vs_Sucrose_Female,-8.978404640999308,True
Dmel_CR32777 lncRNA:roX1 Gene Expression,70143.72551035088,-7.812829742639745,0.16135708051630107,-48.419503610505984,0.0,0.0,Cocaine_vs_Sucrose_Female,-7.812829742639745,True
Dmel_CG41128 Mic10b Gene Expression,7118.359429060409,3.063981966588809,0.15955468033640716,19.203334932755777,3.4707560623856225e-82,1.0198238229976421e-78,Cocaine_vs_Sucrose_Female,3.063981966588809,True
Dmel_CG9032 sun Gene Expression,10906.423134372573,1.9553047263780943,0.15200025703714096,12.863825130903031,7.192725377916637e-38,1.585096855158379e-34,Cocaine_vs_Sucrose_Female,1.9553047263780943,True
Dmel_CG40472 CG40472 Gene Expression,658.444905009477,3.269810840082516,0.2694037983856195,12.137211352165757,6.707318592144673e-34,1.1825002677951058e-30,Cocaine_vs_Sucrose_Female,3.269810840082516,True
Dmel_CG18624 ND-MNLL Gene Expression,304.26872758306763,3.154959979048861,0.31702387240988694,9.95180569547061,2.476482995521052e-23,3.6383662675863457e-20,Cocaine_vs_Sucrose_Female,3.154959979048861,True
Dmel_CG3450 ubl Gene Expression,780.1295197413413,1.8355753663498267,0.1939624461724783,9.463560614808744,2.9763183565387095e-21,3.7480351875555316e-18,Cocaine_vs_Sucrose_Female,1.8355753663498267,True
Dmel_CR34096 mt:srRNA Gene Expression,2148.139169464989,2.431103967043762,0.2605721608242033,9.329868391750114,1.0600244880046802e-20,1.168014482720157e-17,Cocaine_vs_Sucrose_Female,2.431103967043762,True
Dmel_CG3466 Cyp4d2 Gene Expression,172.0339595165908,-2.732209549946193,0.3081903603872355,-8.865330980869167,7.627714292594409e-19,7.47092238769108e-16,Cocaine_vs_Sucrose_Female,-2.732209549946193,True
Dmel_CG32580 Muc14A Gene Expression,461.7174865972023,-2.4942615640182875,0.2875253032940191,-8.674928903449212,4.138089269792781e-18,3.6477256913223366e-15,Cocaine_vs_Sucrose_Female,-2.4942615640182875,True
Dmel_CG40002 ND-AGGG Gene Expression,1600.7985840589008,2.1926534897481695,0.26244801150450303,8.354620319577268,6.564350813871649e-17,5.260432038570781e-14,Cocaine_vs_Sucrose_Female,2.1926534897481695,True
Dmel_CR42491 lncRNA:CR42491 Gene Expression,207.4104530786338,3.3742170904250006,0.42206553644032074,7.9945335477589,1.3006534077507463e-15,9.554383157769025e-13,Cocaine_vs_Sucrose_Female,3.3742170904250006,True
Dmel_CG3706 CG3706 Gene Expression,62.38739073778285,-5.193868220254031,0.655183494779611,-7.927348997094518,2.238734802565622e-15,1.51803440650892e-12,Cocaine_vs_Sucrose_Female,-5.193868220254031,True
Dmel_CR43264 lncRNA:CR43264 Gene Expression,397.72308273309505,2.5335986335325136,0.3262933041500816,7.7647889224449465,8.17813046559973e-15,4.8060146702841075e-12,Cocaine_vs_Sucrose_Female,2.5335986335325136,True
Dmel_CG7761 pcs Gene Expression,4526.9479639356305,1.4874457310610327,0.19141093494343187,7.770954838607423,7.789667049879395e-15,4.8060146702841075e-12,Cocaine_vs_Sucrose_Female,1.4874457310610327,True
Dmel_CR45845 pre-rRNA:CR45845 Gene Expression,97.96510349150427,3.822661989498243,0.4983868482313559,7.670069952816506,1.719025730013637e-14,9.47075738129388e-12,Cocaine_vs_Sucrose_Female,3.822661989498243,True
Dmel_CG14307 fru Gene Expression,9522.992912174956,1.1614855581274768,0.15192995451286534,7.644875310149079,2.0914790401592784e-14,1.0844933964120023e-11,Cocaine_vs_Sucrose_Female,1.1614855581274768,True
Dmel_CR44961 asRNA:CR44961 Gene Expression,67.54367071825382,-3.816071647003152,0.5045873087619253,-7.562757883004255,3.946117197266417e-14,1.932501282994637e-11,Cocaine_vs_Sucrose_Female,-3.816071647003152,True
Dmel_CG2054 Cht2 Gene Expression,118.10828126551033,3.696672904168309,0.4971163942223349,7.436232132217662,1.0359772461170015e-13,4.8063891708007206e-11,Cocaine_vs_Sucrose_Female,3.696672904168309,True
Dmel_CG17724 CG17724 Gene Expression,818.1625498811677,2.135739825175175,0.28931864838330945,7.381963924930268,1.5597146004717528e-13,6.87444210157925e-11,Cocaine_vs_Sucrose_Female,2.135739825175175,True
Dmel_CR45479 asRNA:CR45479 Gene Expression,177.4141834556039,-2.143283266217792,0.2917214549255414,-7.347019665608212,2.0267505883612016e-13,8.507526874478091e-11,Cocaine_vs_Sucrose_Female,-2.143283266217792,True
Dmel_CG34200 Tom6 Gene Expression,4542.027880833017,1.6513583069456288,0.23064856031362635,7.1596298051901135,8.089521462607992e-13,3.241324167858612e-10,Cocaine_vs_Sucrose_Female,1.6513583069456288,True
Dmel_CG43770 Sxl Gene Expression,14396.03940772506,1.308038068821246,0.18470376478062278,7.081815957432352,1.4227753567669338e-12,5.452941204304575e-10,Cocaine_vs_Sucrose_Female,1.308038068821246,True
Dmel_CG7607 CG7607 Gene Expression,630.2895823716838,1.783329850991557,0.2590885542648765,6.883090054099371,5.856797574276854e-12,2.1511529423854365e-09,Cocaine_vs_Sucrose_Female,1.783329850991557,True
Dmel_CG2096 flw Gene Expression,13325.130326013186,1.3364030553883093,0.19506797537706674,6.850960814070273,7.335561007574634e-12,2.5560112368716384e-09,Cocaine_vs_Sucrose_Female,1.3364030553883093,True
Dmel_CG11768 CG11768 Gene Expression,1604.5204737279855,1.6833302216277932,0.24584762545147995,6.847046899625282,7.539000812100125e-12,2.5560112368716384e-09,Cocaine_vs_Sucrose_Female,1.6833302216277932,True
Dmel_CR45668 lncRNA:CR45668 Gene Expression,309.75078667657385,1.857801088173948,0.2773343039890109,6.698778555167708,2.101687920000821e-11,6.861621857336013e-09,Cocaine_vs_Sucrose_Female,1.857801088173948,True
Dmel_CG30173 HSPC300 Gene Expression,504.5156816168205,1.3660388010740132,0.20521622854697275,6.656582721289682,2.802674223051401e-11,8.823419027213607e-09,Cocaine_vs_Sucrose_Female,1.3660388010740132,True
Dmel_CG2985 Yp1 Gene Expression,723.8992654108015,6.034976687034457,0.9172074710492101,6.579729098947417,4.71306183511517e-11,1.432608278501387e-08,Cocaine_vs_Sucrose_Female,6.034976687034457,True
Dmel_CG11985 Sf3b5 Gene Expression,1464.3634161722139,1.3409754834824406,0.20401026461587238,6.573078496845938,4.928545793342853e-11,1.4481710389439083e-08,Cocaine_vs_Sucrose_Female,1.3409754834824406,True
Dmel_CG32577 disco-r Gene Expression,1229.4380286957294,1.277662591471405,0.19721732786966314,6.478449968228887,9.266964866114798e-11,2.635106299832321e-08,Cocaine_vs_Sucrose_Female,1.277662591471405,True
Dmel_CG44774 CG44774 Gene Expression,5716.178309288871,0.890679179433593,0.13962274645274117,6.379183922836425,1.7803412107438455e-10,4.904283678970937e-08,Cocaine_vs_Sucrose_Female,0.890679179433593,False
Dmel_CG17903 Cyt-c-p Gene Expression,21333.533913652136,1.5706187017191002,0.24698329393753488,6.359210279689319,2.0279363451347159e-10,5.417048146170461e-08,Cocaine_vs_Sucrose_Female,1.5706187017191002,True
Dmel_CG32706 CG32706 Gene Expression,686.8600074539128,-1.1476118439221512,0.18942807995190458,-6.058298454028186,1.3756897379176275e-09,3.566677952865849e-07,Cocaine_vs_Sucrose_Female,-1.1476118439221512,True
Dmel_CG13702 AstC-R2 Gene Expression,2796.4884508445616,1.057886542618257,0.17619453284940223,6.004082677880015,1.924166395276666e-09,4.846150506961089e-07,Cocaine_vs_Sucrose_Female,1.057886542618257,True
