gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,log2FC,significant
Dmel_CR32777 lncRNA:roX1 Gene Expression,70143.72551035088,-8.13730219078013,0.16344285259558847,-49.78683412308337,0.0,0.0,Cocaine_vs_Sucrose_Male,-8.13730219078013,True
Dmel_CR32665 lncRNA:roX2 Gene Expression,18244.80499002192,-8.649281206143606,0.18541259218520462,-46.64883384783287,0.0,0.0,Cocaine_vs_Sucrose_Male,-8.649281206143606,True
Dmel_CG2054 Cht2 Gene Expression,118.10828126551033,5.739182964146411,0.5563670979697655,10.315460754399776,5.999285244514614e-25,1.7999855495292016e-21,Cocaine_vs_Sucrose_Male,5.739182964146411,True
Dmel_CG32580 Muc14A Gene Expression,461.7174865972023,-2.754263970202642,0.29330449728153324,-9.390459388554536,5.9739127795815526e-21,1.3442797232253388e-17,Cocaine_vs_Sucrose_Male,-2.754263970202642,True
Dmel_CG2985 Yp1 Gene Expression,723.8992654108015,8.365469051813594,0.9006614282790654,9.28813957071291,1.57008610299261e-20,2.8264690026072964e-17,Cocaine_vs_Sucrose_Male,8.365469051813594,True
Dmel_CR45479 asRNA:CR45479 Gene Expression,177.4141834556039,-2.4401275375506564,0.30608957431461936,-7.971939400466249,1.5620340138838935e-15,2.3433113598281545e-12,Cocaine_vs_Sucrose_Male,-2.4401275375506564,True
Dmel_CG2979 Yp2 Gene Expression,489.1547808385767,6.02406226297177,0.7637870231694576,7.887096900355745,3.092972465359651e-15,3.9771207372431745e-12,Cocaine_vs_Sucrose_Male,6.02406226297177,True
Dmel_CR44961 asRNA:CR44961 Gene Expression,67.54367071825382,-3.3827808309906695,0.4985564428864861,-6.785151168452312,1.159650217269054e-11,1.3047514507048444e-08,Cocaine_vs_Sucrose_Male,-3.3827808309906695,True
Dmel_CG3706 CG3706 Gene Expression,62.38739073778285,-6.345314900389002,0.9401091318692312,-6.749551392796845,1.4830297352775686e-11,1.483194516359266e-08,Cocaine_vs_Sucrose_Male,-6.345314900389002,True
Dmel_CG3466 Cyp4d2 Gene Expression,172.0339595165908,-2.018800563784749,0.30391097496947833,-6.642736623734947,3.079117712084759e-11,2.7715138526474918e-08,Cocaine_vs_Sucrose_Male,-2.018800563784749,True
Dmel_CR45845 pre-rRNA:CR45845 Gene Expression,97.96510349150427,3.09430414581953,0.47962978434117465,6.4514428562227515,1.1079022543588943e-10,8.31019015957034e-08,Cocaine_vs_Sucrose_Male,3.09430414581953,True
Dmel_CG7077 rdhB Gene Expression,304.3674849811738,-1.6123518335439926,0.24957505902292232,-6.460388469329804,1.0443453940011658e-10,8.31019015957034e-08,Cocaine_vs_Sucrose_Male,-1.6123518335439926,True
Dmel_CR43264 lncRNA:CR43264 Gene Expression,397.72308273309505,1.9681023740192465,0.3108334030034573,6.331695226453368,2.4248210219640593e-10,1.678908770669115e-07,Cocaine_vs_Sucrose_Male,1.9681023740192465,True
Dmel_CG11129 Yp3 Gene Expression,1080.4744375855603,4.384531485190549,0.7053753692150766,6.215884019411596,5.10364916440271e-10,3.281281866342057e-07,Cocaine_vs_Sucrose_Male,4.384531485190549,True
Dmel_CR45668 lncRNA:CR45668 Gene Expression,309.75078667657385,1.6226315180257218,0.27481391730531307,5.904473594119358,3.537745277059921e-09,2.1228830159210902e-06,Cocaine_vs_Sucrose_Male,1.6226315180257218,True
Dmel_CG8511 Cpr49Ag Gene Expression,288.53710523421876,-2.2188827323091718,0.37831724755561513,-5.865137650069685,4.487602531943773e-09,2.5245568993766188e-06,Cocaine_vs_Sucrose_Male,-2.2188827323091718,True
Dmel_CG14307 fru Gene Expression,9522.992912174956,0.8813027927758801,0.1518955141713175,5.802033046097005,6.551564537201321e-09,3.4688607293734764e-06,Cocaine_vs_Sucrose_Male,0.8813027927758801,False
Dmel_CG18624 ND-MNLL Gene Expression,304.26872758306763,1.6236944577051076,0.2871824545808683,5.653877637040282,1.568679063274721e-08,7.84426680474209e-06,Cocaine_vs_Sucrose_Male,1.6236944577051076,True
Dmel_CG12223 Dsp1 Gene Expression,18498.41579001902,1.064605917683799,0.19105170413210462,5.572344525896856,2.5133375907433088e-08,1.1906606133831855e-05,Cocaine_vs_Sucrose_Male,1.064605917683799,True
Dmel_CG7761 pcs Gene Expression,4526.9479639356305,1.043806313811941,0.19026454997380132,5.486078798996813,4.109536377450022e-08,1.8494968466713823e-05,Cocaine_vs_Sucrose_Male,1.043806313811941,True
Dmel_CR45629 asRNA:CR45629 Gene Expression,33.99172268081018,5.067872521532626,0.9254074569880424,5.476368796537708,4.341423998413908e-08,1.8608170195106467e-05,Cocaine_vs_Sucrose_Male,5.067872521532626,True
Dmel_CR44832 lncRNA:CR44832 Gene Expression,15507.204760745986,1.2772482873924549,0.23672913860638858,5.39539954781885,6.837123570627864e-08,2.7973158754191547e-05,Cocaine_vs_Sucrose_Male,1.2772482873924549,True
Dmel_CG12239 CG12239 Gene Expression,20897.485626435493,1.2724077336146793,0.2362426149840349,5.386021204094222,7.203446847413651e-08,2.8190532640682726e-05,Cocaine_vs_Sucrose_Male,1.2724077336146793,True
Dmel_CR46349 lncRNA:CR46349 Gene Expression,101.39959544432175,1.9486768765751048,0.367341182504629,5.304814622984857,1.1278755519694023e-07,4.230003268031913e-05,Cocaine_vs_Sucrose_Male,1.9486768765751048,True
Dmel_CG1146 CG1146 Gene Expression,204.8425312872709,1.7722951843387287,0.3349356446855437,5.291449902271998,1.2135043343933378e-07,4.3691010055497734e-05,Cocaine_vs_Sucrose_Male,1.7722951843387287,True
Dmel_CG5481 robo2 Gene Expression,1978.326611302408,1.0318035410881135,0.19817951062527497,5.206408764622924,1.925302868257399e-07,6.66525042968648e-05,Cocaine_vs_Sucrose_Male,1.0318035410881135,True
Dmel_CG14975 Rdh Gene Expression,11189.940487167016,0.8883243431889581,0.17284014494789127,5.139571848060962,2.7536518745437756e-07,9.179859452877231e-05,Cocaine_vs_Sucrose_Male,0.8883243431889581,False
