gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,log2FC,significant
Dmel_CG41128 Mic10b Gene Expression,7118.359429060409,-2.5192069685388425,0.2235450757439512,-11.269346730877423,1.859443564198407e-29,1.7770702143044176e-25,Sex_by_Treatment_Interaction,-2.5192069685388425,True
Dmel_CR34096 mt:srRNA Gene Expression,2148.139169464989,-2.5761304302001293,0.3643066331766931,-7.071324526091391,1.5346177305849604e-12,7.333170825600233e-09,Sex_by_Treatment_Interaction,-2.5761304302001293,True
Dmel_CR44832 lncRNA:CR44832 Gene Expression,15507.204760745986,1.9783197141723985,0.3346561131492332,5.911500302671017,3.390056420782064e-09,1.0799589737804729e-05,Sex_by_Treatment_Interaction,1.9783197141723985,True
Dmel_CG12239 CG12239 Gene Expression,20897.485626435493,1.9568611684473265,0.3340017112531208,5.85883575597711,4.66123414269886e-09,1.1136853675443252e-05,Sex_by_Treatment_Interaction,1.9568611684473265,True
Dmel_CG40472 CG40472 Gene Expression,658.444905009477,-2.146093277167597,0.37178206465059066,-5.772449725848246,7.812725863236407e-09,1.4933244214990069e-05,Sex_by_Treatment_Interaction,-2.146093277167597,True
Dmel_CG9032 sun Gene Expression,10906.423134372573,-1.1863026033631414,0.21441790165333172,-5.532665855862824,3.1539996770355814e-08,5.023795818904842e-05,Sex_by_Treatment_Interaction,-1.1863026033631414,True
Dmel_CR43887 lncRNA:CR43887 Gene Expression,22.522621099960247,-7.086809294971886,1.3014889376567076,-5.445155229464706,5.176022667636493e-08,7.066749804943137e-05,Sex_by_Treatment_Interaction,-7.086809294971886,True
Dmel_CG30446 Tdc2 Gene Expression,380.7395469190957,-1.6908030832613048,0.3163059020735405,-5.345468017439006,9.018372175705869e-08,0.00010773572860402623,Sex_by_Treatment_Interaction,-1.6908030832613048,True
Dmel_CG17724 CG17724 Gene Expression,818.1625498811677,-2.149385626389157,0.4037889527906194,-5.323042177193241,1.0204607250052059e-07,0.00010836159054305281,Sex_by_Treatment_Interaction,-2.149385626389157,True
Dmel_CG17903 Cyt-c-p Gene Expression,21333.533913652136,-1.8409996803174542,0.34914948404329993,-5.27281226080558,1.3434897813908925e-07,0.0001283973184075276,Sex_by_Treatment_Interaction,-1.8409996803174542,True
Dmel_CG40002 ND-AGGG Gene Expression,1600.7985840589008,-1.8378547725488539,0.3694519601597191,-4.974543298550437,6.54016453216804e-07,0.0005682213857629996,Sex_by_Treatment_Interaction,-1.8378547725488539,True
Dmel_CG14331 CG14331 Gene Expression,203.2706940883785,2.114368508325871,0.44457064809079433,4.7559786445776675,1.9748734708942974e-06,0.0015728221467780667,Sex_by_Treatment_Interaction,2.114368508325871,True
Dmel_CG2765 CG2765 Gene Expression,1079.2725503909892,-1.1863723690686907,0.2622123940340324,-4.524470986351287,6.05467577809649e-06,0.004451118185482166,Sex_by_Treatment_Interaction,-1.1863723690686907,True
Dmel_CG4005 yki Gene Expression,656.0149340211162,-1.5034394319959887,0.33514983534355725,-4.485872506709827,7.261615586760654e-06,0.004957090011619397,Sex_by_Treatment_Interaction,-1.5034394319959887,True
Dmel_CG7949 galla-2 Gene Expression,432.9161567538349,-2.1363499565619124,0.4809389958194616,-4.4420393753304035,8.911024787692283e-06,0.005677510926398343,Sex_by_Treatment_Interaction,-2.1363499565619124,True
Dmel_CG3606 caz Gene Expression,830.0868990792787,-1.7102228873855345,0.3952254011767409,-4.3272089351887075,1.5101070223440147e-05,0.009020058007838594,Sex_by_Treatment_Interaction,-1.7102228873855345,True
Dmel_CG31360 CG31360 Gene Expression,1393.9223755759992,-1.7657859620266347,0.40943371650260346,-4.312751712560552,1.6123515269753356e-05,0.00906426090782546,Sex_by_Treatment_Interaction,-1.7657859620266347,True
Dmel_CG33979 capt Gene Expression,1020.8648928209491,-1.2541377885806322,0.29442895136678576,-4.259560015272704,2.0482969810322626e-05,0.010489394904643873,Sex_by_Treatment_Interaction,-1.2541377885806322,True
Dmel_CG7562 Trf Gene Expression,176.61031868151576,-2.646649731609139,0.6219290921529387,-4.255549008725742,2.085366780247291e-05,0.010489394904643873,Sex_by_Treatment_Interaction,-2.646649731609139,True
Dmel_CG5412 CG5412 Gene Expression,773.4247376829832,-1.6801070947854762,0.4001846227928379,-4.198329968453613,2.6889063570774478e-05,0.012237084787899604,Sex_by_Treatment_Interaction,-1.6801070947854762,True
Dmel_CG14701 Dph3 Gene Expression,265.66986318436113,-2.5356588395674637,0.6034582218513946,-4.201879679073931,2.6470782442755836e-05,0.012237084787899604,Sex_by_Treatment_Interaction,-2.5356588395674637,True
Dmel_CG31687 CG31687 Gene Expression,232.64377121740426,-2.3074191576117076,0.5519395365627875,-4.1805650886711225,2.907855594416716e-05,0.012631989052654797,Sex_by_Treatment_Interaction,-2.3074191576117076,True
Dmel_CG32085 CG32085 Gene Expression,1159.3864956645689,-1.2687732144487365,0.30600953147600396,-4.146188546248693,3.380554848615998e-05,0.014046940299227432,Sex_by_Treatment_Interaction,-1.2687732144487365,True
Dmel_CG30053 CG30053 Gene Expression,107.14939924017916,2.152711416667588,0.5211545792152728,4.130658162706789,3.6172612535124346e-05,0.014404235749924306,Sex_by_Treatment_Interaction,2.152711416667588,True
Dmel_CG18324 CG18324 Gene Expression,324.2437233975705,-1.6659436301398964,0.4061853520004576,-4.101436996521774,4.105923076805916e-05,0.015092425709628517,Sex_by_Treatment_Interaction,-1.6659436301398964,True
Dmel_CG3711 Lztr1 Gene Expression,1275.6950413752734,-0.9435441361288042,0.22966689356046213,-4.1083158373473045,3.985548263894276e-05,0.015092425709628517,Sex_by_Treatment_Interaction,-0.9435441361288042,False
Dmel_CG15456 CG15456 Gene Expression,630.9526004364545,-1.3362639093917956,0.3298555752385262,-4.051057522449066,5.098667003212932e-05,0.018047392796187403,Sex_by_Treatment_Interaction,-1.3362639093917956,True
Dmel_CG7582 CG7582 Gene Expression,1136.5450676174366,-1.2507798483238413,0.3154430747407,-3.9651523475416455,7.334908477946367e-05,0.023564532151728056,Sex_by_Treatment_Interaction,-1.2507798483238413,True
Dmel_CG1640 Alat Gene Expression,3034.272508311337,-1.3062199929451412,0.32925952860555907,-3.967144089882803,7.273901972525001e-05,0.023564532151728056,Sex_by_Treatment_Interaction,-1.3062199929451412,True
Dmel_CG7077 rdhB Gene Expression,304.3674849811738,-1.419247259623594,0.35811184893252956,-3.963139627616702,7.397048912334851e-05,0.023564532151728056,Sex_by_Treatment_Interaction,-1.419247259623594,True
Dmel_CG9804 Lipt2 Gene Expression,515.8505395852407,-1.4814653390406642,0.3765940346644196,-3.933852378625137,8.35951360564988e-05,0.024966209852873723,Sex_by_Treatment_Interaction,-1.4814653390406642,True
Dmel_CG6618 Patsas Gene Expression,455.2365818227439,-1.4520917065477073,0.36886385132357746,-3.9366603730271548,8.262341082059857e-05,0.024966209852873723,Sex_by_Treatment_Interaction,-1.4520917065477073,True
Dmel_CG31155 Polr2G Gene Expression,392.1038313340455,-1.7680428657196459,0.4517708327895267,-3.9135834750610177,9.093644394203412e-05,0.026335745295576366,Sex_by_Treatment_Interaction,-1.7680428657196459,True
Dmel_CG32544 CG32544 Gene Expression,2797.5646644901726,-1.3957408652701417,0.35915401186364,-3.8861903784053022,0.00010182965922901051,0.02862311921328392,Sex_by_Treatment_Interaction,-1.3957408652701417,True
Dmel_CG6276 CG6276 Gene Expression,719.3406501566106,-1.3253163361424105,0.34291342658767526,-3.864871519702822,0.00011114769077345155,0.030349670877767902,Sex_by_Treatment_Interaction,-1.3253163361424105,True
Dmel_CG8348 Dh44 Gene Expression,1611.244702763662,0.9830806207870937,0.2554212874411323,3.848859390835493,0.00011866909661934645,0.03039089684428663,Sex_by_Treatment_Interaction,0.9830806207870937,False
Dmel_CG2540 CG2540 Gene Expression,181.7292635199496,-2.007815028010308,0.5207398344070944,-3.8556970205599366,0.00011540034435931175,0.03039089684428663,Sex_by_Treatment_Interaction,-2.007815028010308,True
Dmel_CG5282 CG5282 Gene Expression,2123.4637087089523,-1.066422075103054,0.27785565129334344,-3.838043495387428,0.00012401851804197747,0.03039089684428663,Sex_by_Treatment_Interaction,-1.066422075103054,True
Dmel_CG6083 CG6083 Gene Expression,400.6177545872309,-1.8913018404365003,0.49219466246341614,-3.8425890906061526,0.0001217432000311889,0.03039089684428663,Sex_by_Treatment_Interaction,-1.8913018404365003,True
Dmel_CG6734 Wdr81 Gene Expression,358.4464124370836,-1.1922321052032616,0.3116171071228797,-3.82595203521073,0.00013026765446675923,0.03112419934347045,Sex_by_Treatment_Interaction,-1.1922321052032616,True
Dmel_CG4672 Serinc Gene Expression,4451.612108233574,-1.0844689507841774,0.2846152320821358,-3.8102983556102,0.0001387991831268104,0.03172136102738054,Sex_by_Treatment_Interaction,-1.0844689507841774,True
Dmel_CG5934 CG5934 Gene Expression,1342.5640811661813,-1.327301252799763,0.34844428571694314,-3.8092208918529633,0.00013940537440096083,0.03172136102738054,Sex_by_Treatment_Interaction,-1.327301252799763,True
Dmel_CG7121 Tehao Gene Expression,203.3964019671133,-1.544485746660362,0.40673116372563045,-3.7973135191141374,0.00014627273966298022,0.032509966813002375,Sex_by_Treatment_Interaction,-1.544485746660362,True
Dmel_CR42491 lncRNA:CR42491 Gene Expression,207.4104530786338,-2.179843306620484,0.5819720115584358,-3.7456153617820607,0.0001799521292907658,0.03908642044617838,Sex_by_Treatment_Interaction,-2.179843306620484,True
Dmel_CR34531 snoRNA:Psi28S-1153 Gene Expression,34.08270532431534,-4.1519243391321154,1.1180696560067318,-3.71347555747199,0.00020443221766685855,0.04247301530961233,Sex_by_Treatment_Interaction,-4.1519243391321154,True
Dmel_CG9770 p Gene Expression,901.3307561539982,-1.048737407699157,0.2823119770348032,-3.7148172695835333,0.00020335058720557248,0.04247301530961233,Sex_by_Treatment_Interaction,-1.048737407699157,True
Dmel_CG11866 dmpd Gene Expression,774.5092987441327,-1.108379126270218,0.29914082601223063,-3.7052084833947108,0.00021121692932056244,0.042948940287587556,Sex_by_Treatment_Interaction,-1.108379126270218,True
Dmel_CG13054 CG13054 Gene Expression,310.31412839710345,1.3466298473042464,0.3644349590661806,3.6951170951184773,0.00021978547361153786,0.0437602035688639,Sex_by_Treatment_Interaction,1.3466298473042464,True
Dmel_CG10641 Swip-1 Gene Expression,2119.5511559389934,-0.8939254670491938,0.24598420677193225,-3.6340766701254505,0.0002789779006416444,0.05441207747820807,Sex_by_Treatment_Interaction,-0.8939254670491938,False
Dmel_CG3450 ubl Gene Expression,780.1295197413413,-0.9694693735236041,0.268140500499042,-3.615527574981415,0.00029973656547458853,0.05729164712481285,Sex_by_Treatment_Interaction,-0.9694693735236041,False
Dmel_CG18624 ND-MNLL Gene Expression,304.26872758306763,-1.5312655213437532,0.42775913421966116,-3.579737751567039,0.0003439392010166715,0.06445150870816332,Sex_by_Treatment_Interaction,-1.5312655213437532,False
Dmel_CG1268 VhaM9.7-a Gene Expression,14537.061988183897,-1.0294655299634228,0.28820228047196933,-3.572024233387525,0.00035423262361073364,0.06510386892014965,Sex_by_Treatment_Interaction,-1.0294655299634228,False
Dmel_CG33100 eIF4EHP Gene Expression,16105.329243220904,-0.9350725640501302,0.2632930398791596,-3.5514518898003873,0.0003831120255744748,0.06908304959274067,Sex_by_Treatment_Interaction,-0.9350725640501302,False
Dmel_CG4710 Pino Gene Expression,825.8220354664795,-1.1007007428090378,0.31245605229927,-3.5227377889124334,0.0004271137005575213,0.07559121548570799,Sex_by_Treatment_Interaction,-1.1007007428090378,False
Dmel_CG1411 CRMP Gene Expression,2206.0659972566577,-1.154861651166538,0.32834343007727307,-3.517236970128351,0.0004360642924387986,0.07577211714250179,Sex_by_Treatment_Interaction,-1.154861651166538,False
Dmel_CG4236 Caf1-55 Gene Expression,708.118018697982,-1.1028708690911933,0.3164554251201129,-3.4850749317146037,0.0004919992422372639,0.08396494210824162,Sex_by_Treatment_Interaction,-1.1028708690911933,False
Dmel_CR44366 lncRNA:CR44366 Gene Expression,301.13508975729695,-1.6258252116426573,0.4687690269701963,-3.468286337412017,0.0005237888602439369,0.08423425542989689,Sex_by_Treatment_Interaction,-1.6258252116426573,False
Dmel_CG3911 Bet3 Gene Expression,890.3600323613564,-1.1576374797791504,0.33372223473128004,-3.4688652996444893,0.0005226614344860813,0.08423425542989689,Sex_by_Treatment_Interaction,-1.1576374797791504,False
Dmel_CG15667 Sara Gene Expression,1136.0835871943295,-0.9154483663470617,0.26414451738254785,-3.4657102688270514,0.0005288328268069283,0.08423425542989689,Sex_by_Treatment_Interaction,-0.9154483663470617,False
Dmel_CG18156 Mis12 Gene Expression,287.30556918795446,-1.5931008133327453,0.45792405990394597,-3.478962895434919,0.0005033582762129926,0.08423425542989689,Sex_by_Treatment_Interaction,-1.5931008133327453,False
Dmel_CG7199 Hr78 Gene Expression,453.1704980606714,-1.3760824051119493,0.4001865319894892,-3.4386024893713603,0.0005847251521469344,0.09161013572243037,Sex_by_Treatment_Interaction,-1.3760824051119493,False
Dmel_CG9390 AcCoAS Gene Expression,3415.833155840496,-0.9661219709851695,0.2819177150143369,-3.4269643925570183,0.0006103691010608819,0.09408544352965885,Sex_by_Treatment_Interaction,-0.9661219709851695,False
Dmel_CG1832 Clamp Gene Expression,1155.1578050111546,-1.0184776688769666,0.2977060935294076,-3.4210843883058133,0.000623719754721184,0.09461729675984693,Sex_by_Treatment_Interaction,-1.0184776688769666,False
Dmel_CG40045 CG40045 Gene Expression,4795.901428254803,-0.847814583432587,0.251087808308982,-3.3765661070619917,0.0007339673208077094,0.1027417584058793,Sex_by_Treatment_Interaction,-0.847814583432587,False
Dmel_CG32364 tut Gene Expression,225.64973266578536,-1.3669232224926156,0.4040434822123754,-3.3831092015342206,0.0007167012828287828,0.1027417584058793,Sex_by_Treatment_Interaction,-1.3669232224926156,False
Dmel_CG6330 CG6330 Gene Expression,2286.556385701466,-0.9437736081915306,0.27895138635265254,-3.3832906175214505,0.0007162279798204311,0.1027417584058793,Sex_by_Treatment_Interaction,-0.9437736081915306,False
Dmel_CG6496 Pdf Gene Expression,11091.334149200287,3.9796991183010384,1.1796410250706506,3.3736526907096063,0.0007417789400445404,0.1027417584058793,Sex_by_Treatment_Interaction,3.9796991183010384,False
Dmel_CG1193 kat-60L1 Gene Expression,294.4372188113567,-1.4931963981739773,0.4405296653533192,-3.3895478911196246,0.0007000797912074226,0.1027417584058793,Sex_by_Treatment_Interaction,-1.4931963981739773,False
Dmel_CG6869 FucTA Gene Expression,1091.0049414840178,-0.8532105059277835,0.25265806897034676,-3.376937492655026,0.0007329770499648147,0.1027417584058793,Sex_by_Treatment_Interaction,-0.8532105059277835,False
Dmel_CG17840 FIG4 Gene Expression,145.9678893840785,-1.621325271627733,0.4816596059507399,-3.3661225720338868,0.0007623282604834796,0.10407958836343735,Sex_by_Treatment_Interaction,-1.621325271627733,False
Dmel_CG6946 glo Gene Expression,4420.137833407722,-0.9329548522315521,0.2791466366594397,-3.3421676270087457,0.0008312684349784255,0.11189341455054665,Sex_by_Treatment_Interaction,-0.9329548522315521,False
